J0030+0451, 0.5376252733039959
J0125-2327, 0.18718393926680474
J0437-4715, 0.05243139105123057
J0613-0200, 0.5708269447901737
J0614-3329, 0.9037286593762333
J0711-6830, 0.8677221855311433
J0900-3144, 1.1684707033283304
J1017-7156, 0.2855897752605168
J1022+1001, 1.6635688216548468
J1024-0719, 0.7027156542251237
J1045-4509, 2.2784364695745065
J1125-6014, 0.3582018613737004
J1446-4701, 1.0961970496545546
J1545-4550, 0.44233269714370504
J1600-3053, 0.43216995729447577
J1603-7202, 0.9278055102678844
J1643-1224, 1.0139857044341432
J1713+0747, 0.11798998581554249
J1730-2304, 0.751902682605646
J1741+1351, 0.3537032952359679
J1744-1134, 0.3578119220630113
J1824-2452A, 0.7147629010085987
J1832-0836, 0.4105411273006851
J1857+0943, 0.8746293508233263
J1902-5105, 0.2558648547871609
J1909-3744, 0.10143031832478033
J1933-6211, 0.7806216141103692
J1939+2134, 0.1078232584951486
J2124-3358, 1.634832671458691
J2129-5721, 0.9169650316774854
J2145-0750, 0.7940315823858689
J2241-5236, 0.15033534301152468
